purchase_hour,purchase_dayofweek,purchase_month,approval_delay_hours,carrier_delay_hours,estimated_delivery_days,total_payment_value,payment_installments,customer_state,is_delayed
10,0,10,0.17833333333333334,56.795833333333334,15.5440625,38.71,1,SP,0
20,1,7,30.71388888888889,11.109166666666667,19.137766203703702,141.46,1,BA,0
8,2,8,0.2761111111111111,4.910277777777778,26.63971064814815,179.12,3,GO,0
19,5,11,0.2980555555555556,89.9,26.188819444444444,72.2,1,RN,0
21,1,2,1.0305555555555554,21.434722222222224,12.112048611111112,28.62,1,SP,0
21,6,7,0.21888888888888888,40.7975,22.085358796296298,175.26,6,PR,0
13,1,5,0.1947222222222222,140.75972222222222,21.451041666666665,75.16,3,RJ,0
18,0,1,32.36055555555556,35.42888888888889,41.229756944444446,35.95,1,RS,0
11,5,7,0.175,295.6644444444444,24.503449074074073,169.76,1,SP,0
19,1,5,0.15222222222222223,39.839444444444446,21.17974537037037,259.06,1,RJ,0
19,3,7,0.19916666666666666,22.555833333333332,25.16792824074074,114.13,1,SP,0
10,3,6,41.11472222222222,58.263333333333335,40.57894675925926,50.13,1,MG,0
17,2,7,0.18444444444444444,19.34611111111111,13.26099537037037,32.7,3,SP,0
14,3,3,0.9386111111111111,29.975833333333334,19.40662037037037,54.36,1,SP,0
19,1,1,0.13916666666666666,23.168055555555554,34.20783564814815,1376.45,10,RJ,0
23,1,12,0.1475,42.71194444444444,33.01283564814815,43.09,4,SC,0
0,1,11,0.17805555555555555,69.30111111111111,19.99744212962963,29.75,1,SP,0
15,3,10,0.23,5.644166666666667,27.337199074074075,92.97,1,BA,0
14,0,9,13.544166666666667,421.765,9.394791666666666,118.86,1,SP,1
8,3,3,0.2808333333333333,10.721388888888889,13.630092592592593,88.9,4,SP,0
20,5,2,0.21305555555555555,49.785,17.14056712962963,17.28,1,SP,0
7,0,1,0.20055555555555554,399.15166666666664,43.66980324074074,187.57,3,SC,0
11,3,8,15.669722222222223,9.069166666666666,7.510648148148148,104.11,1,SP,0
23,1,2,26.73138888888889,115.91,19.009108796296296,125.43,1,RJ,1
0,0,6,24.5825,12.813888888888888,43.999849537037036,227.68,10,BA,0
1,0,3,1.6355555555555557,17.634166666666665,15.923310185185185,60.69,2,SP,0
11,2,5,25.156388888888888,171.34972222222223,20.509976851851853,192.68,8,SP,0
13,6,2,0.9513888888888888,31.6875,46.42326388888889,63.34,3,RR,0
11,3,8,38.780833333333334,132.82861111111112,12.501006944444445,313.19,1,SP,0
21,0,4,0.9130555555555555,38.911944444444444,28.114131944444445,224.9,4,PE,0
13,1,12,47.969166666666666,34.41222222222222,26.419398148148147,63.1,1,SP,0
12,5,2,0.1922222222222222,56.60638888888889,31.472939814814815,100.25,1,RJ,0
23,6,7,0.17333333333333334,14.9625,7.017465277777778,188.41,2,SP,0
15,5,2,0.2633333333333333,78.80611111111111,30.333495370370372,106.95,4,TO,1
18,2,2,31.927777777777777,112.68805555555555,35.239444444444445,66.79,1,CE,0
21,0,7,29.314444444444444,39.61277777777778,21.099189814814814,43.0,1,SP,0
12,4,6,87.20055555555555,80.22916666666667,45.48387731481481,508.17,1,PE,0
17,0,3,0.26916666666666667,47.907222222222224,16.283125,49.69,4,SP,0
18,4,5,0.19361111111111112,63.18055555555556,23.21273148148148,154.19,4,RJ,0
21,4,11,2.8891666666666667,452.8822222222222,26.105694444444445,356.12,10,SP,1
17,4,8,0.24222222222222223,72.44722222222222,27.284270833333334,95.67,9,DF,0
23,5,8,0.16194444444444445,39.463055555555556,39.02395833333333,121.62,1,BA,0
13,3,5,0.15833333333333333,21.939166666666665,21.419594907407408,153.72,7,RJ,0
20,6,5,0.2388888888888889,35.58361111111111,28.14693287037037,54.82,1,BA,0
16,3,5,8.307777777777778,11.739166666666666,7.292233796296296,82.33,5,SP,0
11,6,7,0.3338888888888889,26.044722222222223,14.524803240740741,52.24,1,RS,0
20,2,8,31.94,13.6175,21.15341435185185,130.56,1,SP,0
14,3,2,36.846666666666664,88.3386111111111,21.41505787037037,52.84,1,SP,0
13,1,6,18.877777777777776,4.7411111111111115,23.428564814814816,71.91,1,PR,0
14,3,7,0.25305555555555553,21.147222222222222,20.38890046296296,151.04,2,RS,0
0,4,12,0.14583333333333334,97.71805555555555,31.99571759259259,386.33,10,RJ,0
8,3,8,0.24805555555555556,11.599166666666667,19.65597222222222,50.25,1,SP,0
10,0,6,0.5444444444444444,74.07444444444444,34.56537037037037,128.68,3,RJ,0
8,0,6,0.22527777777777777,6.3694444444444445,23.65394675925926,43.46,1,SP,0
14,4,3,0.84,128.84444444444443,23.381770833333334,91.68,9,SE,1
18,0,3,0.0,211.80916666666667,16.23986111111111,99.26,1,SP,1
21,1,6,29.905277777777776,35.83111111111111,22.117060185185185,141.15,1,SP,0
22,3,11,28.8175,67.26194444444444,17.081770833333334,91.66,1,SP,0
13,6,8,0.2461111111111111,24.273888888888887,9.451527777777779,53.66,1,DF,0
11,2,11,0.25027777777777777,34.27166666666667,19.51966435185185,317.34,9,RJ,0
20,0,2,33.73777777777778,38.81611111111111,21.14503472222222,43.0,1,MG,0
21,6,1,0.10944444444444444,72.07805555555555,37.09381944444444,824.76,4,BA,0
13,5,2,0.14222222222222222,103.20194444444445,29.439594907407407,39.99,1,MG,0
16,0,6,0.9761111111111112,22.900833333333335,24.33167824074074,392.6,3,SP,0
13,2,6,36.830555555555556,11.741944444444444,12.425243055555555,55.02,1,SP,0
8,6,7,29.964166666666667,25.030555555555555,17.64353009259259,46.2,1,SC,0
14,2,9,0.2911111111111111,51.96388888888889,11.397789351851852,59.34,1,SP,0
8,4,4,4.7625,8.821944444444444,24.635914351851852,209.41,1,SP,0
10,3,2,0.24138888888888888,123.45277777777778,19.560069444444444,57.0,4,SP,0
11,0,2,39.41138888888889,27.620833333333334,28.509965277777777,84.56,1,MG,0
17,3,4,12.002777777777778,76.30472222222222,21.28071759259259,267.8,1,PR,0
9,4,9,0.25833333333333336,80.745,25.61125,145.66,5,MT,0
16,5,7,58.95805555555555,36.17666666666667,10.296585648148149,37.83,1,SP,0
18,2,8,0.2086111111111111,25.60972222222222,21.227233796296296,234.28,1,RS,0
22,6,8,30.095555555555556,8.761666666666667,3.080162037037037,201.82,1,SP,0
3,6,7,0.30916666666666665,37.29611111111111,16.87042824074074,27.77,2,SP,0
0,4,12,25.965,113.65416666666667,27.987766203703703,59.1,1,DF,0
22,3,4,0.18194444444444444,16.065,20.05591435185185,66.98,1,MG,0
20,1,5,0.22944444444444445,14.325,22.132650462962964,132.26,3,RS,0
20,3,4,0.20694444444444443,107.46638888888889,34.13699074074074,63.34,5,PB,0
14,0,10,12.87888888888889,258.41305555555556,35.37719907407408,231.12,1,BA,0
9,4,12,17.119722222222222,60.486111111111114,25.595335648148147,574.36,1,SP,0
16,5,8,24.178333333333335,68.37222222222222,25.296180555555555,29.92,2,SC,0
12,1,2,37.88666666666666,47.63583333333333,29.461319444444445,409.79,1,SP,0
13,4,5,0.4330555555555556,121.10277777777777,24.45079861111111,62.69,6,SP,0
19,0,1,0.23694444444444446,51.92944444444444,27.192800925925926,105.56,5,MG,0
8,1,5,0.6725,34.13388888888889,14.657905092592593,37.38,1,SP,0
22,1,9,9.633055555555556,57.46527777777778,23.071354166666666,76.65,7,PR,0
22,2,4,0.2836111111111111,49.21861111111111,39.06075231481481,120.84,4,MG,0
23,2,12,26.877222222222223,34.55,32.01033564814815,238.69,1,SC,0
23,6,4,44.01555555555556,66.36277777777778,14.02548611111111,772.08,8,SP,0
8,4,8,0.5325,0.64,23.625243055555554,103.27,1,CE,0
8,0,5,0.2808333333333333,53.89333333333333,24.641979166666665,23.69,2,SP,0
11,2,11,0.2411111111111111,121.87916666666666,18.519189814814816,101.74,5,RJ,1
7,3,3,0.24305555555555555,2.846111111111111,26.673229166666665,28.86,1,SP,0
9,1,6,0.36333333333333334,30.077222222222222,47.617662037037036,117.77,2,PR,0
11,6,8,0.18416666666666667,28.60861111111111,3.538587962962963,172.14,2,SP,0
8,2,5,0.14944444444444444,1.478611111111111,19.64153935185185,42.59,3,SP,0
22,0,7,28.141944444444444,31.745833333333334,2.0543518518518518,21.38,1,SP,1
22,3,3,23.906944444444445,67.39444444444445,24.073310185185186,554.4,8,RS,0
21,1,2,0.3416666666666667,19.72361111111111,28.11863425925926,96.01,1,SP,0
23,5,1,1.7652777777777777,84.88833333333334,40.00980324074074,609.9,6,BA,0
22,5,1,0.19555555555555557,149.66166666666666,29.080162037037038,42.4,1,MG,0
15,5,7,60.463055555555556,10.7075,23.345462962962962,253.4,1,MG,0
12,2,9,0.3111111111111111,57.99444444444445,18.49488425925926,28.62,1,SP,0
21,1,11,60.50861111111111,323.10777777777776,23.12449074074074,40.09,4,RJ,1
12,3,2,0.38666666666666666,11.749444444444444,17.478229166666665,26.44,1,RJ,0
16,2,8,0.24722222222222223,22.128055555555555,13.326053240740741,132.88,1,DF,0
23,4,7,10.565,76.2475,34.01649305555556,111.89,3,RJ,0
18,2,5,0.45361111111111113,21.213055555555556,19.23125,231.79,8,RJ,0
